ranking;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
134;Andrey Kuznetsov;RUS;9;19;5;6;133;4.9;80;3.0;0.59;0.68;0.49;0.73;0.33;0.6;0.3;0.46;0.19
135;Xavier Malisse;BEL;13;19;5;7;226;7.1;83;2.6;0.55;0.71;0.5;0.74;0.39;0.57;0.27;0.52;0.2
136;James Duckworth;AUS;3;7;3;1;135;13.5;38;3.8;0.58;0.74;0.48;0.79;0.31;0.62;0.26;0.45;0.15
137;Guillaume Rufin;FRA;8;13;6;6;130;6.2;96;4.6;0.56;0.71;0.49;0.75;0.34;0.61;0.28;0.52;0.21
138;Wayne Odesnik;USA;2;3;0;1;14;2.8;8;1.6;0.68;0.61;0.53;0.67;0.46;0.6;0.32;0.5;0.27
139;Dominic Thiem;AUT;4;2;0;1;35;5.8;15;2.5;0.53;0.77;0.59;0.9;0.37;0.72;0.29;0.51;0.24
140;Joao Souza;BRA;1;4;1;2;28;5.6;8;1.6;0.63;0.77;0.51;0.82;0.0;0.64;0.2;0.37;0.0
141;Peter Polansky;CAN;0;1;0;0;0;0.0;6;6.0;0.51;0.62;0.4;0.5;0.5;0.42;0.36;0.53;0.36
142;Alex Kuznetsov;USA;2;4;0;3;38;6.3;10;1.7;0.59;0.76;0.47;0.79;0.21;0.42;0.26;0.46;0.12
143;Michael Berrer;GER;2;3;0;2;20;4.0;18;3.6;0.65;0.7;0.42;0.77;0.36;0.66;0.36;0.49;0.31
144;Victor Estrella Burgos;DOM;2;1;0;0;4;2.0;9;4.5;0.53;0.71;0.38;0.61;0.38;0.61;0.33;0.53;0.28
145;Guido Andreozzi;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
146;Thiemo de Bakker;NED;10;10;7;2;106;6.2;34;2.0;0.61;0.7;0.47;0.75;0.42;0.64;0.26;0.48;0.18
147;Marius Copil;ROU;3;6;1;3;54;9.0;20;3.3;0.56;0.72;0.49;0.78;0.24;0.59;0.22;0.41;0.07
148;Ruben Bemelmans;BEL;4;6;3;3;64;8.0;26;3.3;0.64;0.72;0.52;0.83;0.43;0.69;0.28;0.51;0.19
149;Jesse Levine;CAN;6;14;3;8;106;5.3;105;5.3;0.58;0.67;0.5;0.73;0.4;0.64;0.27;0.47;0.18
150;Daniel Evans;GBR;6;4;3;2;43;7.2;28;4.7;0.6;0.7;0.49;0.75;0.48;0.59;0.31;0.55;0.29
151;Pierre-Hugues Herbert;FRA;1;2;0;1;20;6.7;10;3.3;0.6;0.7;0.49;0.75;0.41;0.63;0.26;0.47;0.24
152;Potito Starace;ITA;1;1;0;0;7;3.5;1;0.5;0.77;0.6;0.53;0.73;0.3;0.73;0.25;0.52;0.14
153;James Blake;USA;9;14;3;8;138;6.0;63;2.7;0.54;0.75;0.48;0.79;0.41;0.63;0.26;0.53;0.22
154;Paul Capdeville;CHI;2;3;1;3;15;7.5;4;2.0;0.66;0.71;0.54;0.8;0.78;0.44;0.26;0.54;0.27
155;Tatsuma Ito;JPN;5;9;2;1;41;3.7;40;3.6;0.56;0.66;0.47;0.68;0.34;0.52;0.26;0.48;0.15
156;Steve Johnson;USA;4;10;5;7;130;9.3;59;4.2;0.56;0.73;0.5;0.83;0.38;0.69;0.24;0.39;0.12
157;Máximo González;ARG;1;1;0;1;12;6.0;8;4.0;0.66;0.73;0.45;0.85;0.33;0.69;0.31;0.53;0.24
158;Guilherme Clezar;BRA;0;1;0;2;6;6.0;3;3.0;0.6;0.68;0.51;0.83;0.67;0.79;0.19;0.53;0.22
159;Matthias Bachinger;GER;2;6;2;2;48;6.0;29;3.6;0.57;0.68;0.46;0.72;0.43;0.64;0.25;0.46;0.15
160;Matteo Viola;ITA;4;7;0;1;23;2.1;61;5.5;0.61;0.62;0.42;0.6;0.47;0.56;0.3;0.55;0.32
161;James Ward;GBR;1;4;2;4;33;11.0;8;2.7;0.64;0.72;0.53;0.84;0.17;0.69;0.26;0.46;0.1
162;Peter Gojowczyk;GER;1;1;1;0;23;11.5;14;7.0;0.54;0.77;0.5;0.78;0.48;0.65;0.27;0.54;0.23
163;Marco Cecchinato;ITA;0;1;0;0;2;2.0;1;1.0;0.72;0.55;0.5;0.55;0.6;0.55;0.24;0.68;0.27
164;Steve Darcis;BEL;5;6;3;3;32;4.0;21;2.6;0.63;0.67;0.54;0.77;0.3;0.6;0.23;0.51;0.13
165;Illya Marchenko;UKR;1;4;1;0;13;3.3;25;6.3;0.58;0.66;0.44;0.68;0.33;0.56;0.29;0.43;0.13
166;Ruben Ramirez Hidalgo;ESP;2;6;1;2;34;4.3;33;4.1;0.54;0.71;0.46;0.73;0.4;0.62;0.28;0.46;0.2
167;Cedrik-Marcel Stebe;GER;2;3;0;0;15;3.0;5;1.0;0.65;0.66;0.51;0.78;0.35;0.66;0.28;0.43;0.13
168;Malek Jaziri;TUN;2;1;0;0;2;2.0;2;2.0;0.48;0.62;0.48;0.62;0.5;0.55;0.17;0.33;0.08
169;Radu Albot;MDA;5;1;1;1;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170;Yuichi Sugita;JPN;2;3;0;0;11;2.8;15;3.8;0.6;0.58;0.38;0.5;0.42;0.54;0.3;0.55;0.27
171;Rik De Voest;RSA;1;3;0;1;3;3.0;1;1.0;0.69;0.57;0.48;0.6;0.33;0.64;0.28;0.42;0.1
172;Sam Groth;AUS;1;3;2;0;62;15.5;20;5.0;0.64;0.72;0.55;0.8;0.29;0.58;0.28;0.42;0.12
173;Marco Chiudinelli;SUI;1;5;1;3;17;4.3;17;4.3;0.62;0.7;0.45;0.78;0.37;0.71;0.26;0.49;0.14
174;Jimmy Wang;TPE;1;3;1;0;20;5.0;12;3.0;0.66;0.64;0.46;0.64;0.32;0.48;0.31;0.4;0.2
175;Gastao Elias;POR;3;4;0;1;6;1.2;15;3.0;0.5;0.61;0.51;0.64;0.5;0.61;0.34;0.41;0.24
176;Mischa Zverev;GER;4;5;3;3;33;3.7;25;2.8;0.68;0.67;0.42;0.71;0.37;0.54;0.3;0.5;0.22
177;David Guez;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178;Konstantin Kravchuk;RUS;2;1;1;0;15;7.5;7;3.5;0.68;0.75;0.4;0.72;0.33;0.44;0.22;0.32;0.11
179;Bobby Reynolds;USA;2;4;1;2;50;8.3;25;4.2;0.6;0.68;0.49;0.75;0.36;0.63;0.2;0.45;0.14
180;Thomas Fabbiano;ITA;0;1;0;1;0;0.0;7;7.0;0.66;0.64;0.46;0.79;0.2;0.75;0.15;0.44;0.06
181;Marton Fucsovics;HUN;2;3;1;0;11;5.5;9;4.5;0.58;0.69;0.52;0.74;0.4;0.5;0.32;0.52;0.27
182;Nick Kyrgios;AUS;2;2;3;0;21;7.0;14;4.7;0.62;0.72;0.45;0.76;0.22;0.54;0.15;0.37;0.04
183;Tennys Sandgren;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
184;Blaz Rola;SLO;1;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
185;Marsel Ilhan;TUR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
186;Andreas Beck;GER;0;2;0;0;8;4.0;11;5.5;0.53;0.63;0.49;0.68;0.19;0.64;0.31;0.44;0.11
187;Damir Dzumhur;BIH;2;1;1;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;Flavio Cipolla;ITA;2;9;0;4;11;1.0;41;3.7;0.69;0.56;0.43;0.55;0.47;0.52;0.3;0.45;0.21
189;Amir Weintraub;ISR;2;5;2;3;20;6.7;10;3.3;0.71;0.72;0.45;0.8;0.38;0.62;0.23;0.44;0.13
190;John Millman;AUS;2;4;0;0;37;6.2;25;4.2;0.63;0.67;0.47;0.72;0.39;0.64;0.31;0.5;0.25
191;Renzo Olivo;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
192;Martin Fischer;AUT;0;3;0;0;6;2.0;6;2.0;0.58;0.55;0.47;0.52;0.33;0.41;0.36;0.51;0.28
193;Maxime Teixeira;FRA;0;1;0;1;6;6.0;8;8.0;0.62;0.64;0.37;0.62;0.55;0.62;0.35;0.56;0.29
194;Daniel Munoz-De La Nava;ESP;2;5;3;0;20;2.9;28;4.0;0.54;0.7;0.5;0.72;0.26;0.61;0.25;0.46;0.12
195;Yuki Bhambri;IND;2;1;0;0;8;8.0;3;3.0;0.67;0.69;0.47;0.8;0.0;0.71;0.22;0.44;0.0
196;Kristijan Mesaros;CRO;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
197;Norbert Gombos;SVK;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
198;Mohamed Safwat;EGY;1;1;0;0;8;4.0;2;1.0;0.67;0.79;0.46;0.79;0.62;0.56;0.35;0.56;0.4
199;Niels Desein;BEL;0;1;0;0;2;2.0;1;1.0;0.67;0.54;0.58;0.64;0.22;0.38;0.3;0.43;0.15
200;Pedro Sousa;POR;2;1;0;1;1;1.0;4;4.0;0.69;0.42;0.5;0.44;0.64;0.4;0.47;0.63;0.56
