jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
139;Joao Souza;BRA;1;4;1;2;28;5.6;8;1.6;0.63;0.77;0.51;0.82;0.0;0.64;0.2;0.37;0.0
140;Peter Polansky;CAN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141;Alex Kuznetsov;USA;0;1;0;1;5;5.0;3;3.0;0.63;0.61;0.41;0.62;0.17;0.55;0.29;0.41;0.07
142;Michael Berrer;GER;2;1;0;1;10;3.3;9;3.0;0.67;0.7;0.54;0.84;0.36;0.71;0.33;0.51;0.28
143;Victor Estrella Burgos;DOM;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
144;Guido Andreozzi;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
145;Thiemo de Bakker;NED;6;3;2;0;42;6.0;18;2.6;0.6;0.7;0.45;0.75;0.52;0.67;0.32;0.52;0.25
146;Andrey Kuznetsov;RUS;5;10;2;3;56;3.7;34;2.3;0.59;0.68;0.49;0.74;0.3;0.54;0.29;0.45;0.17
147;Marius Copil;ROU;0;2;0;0;10;5.0;1;0.5;0.57;0.66;0.51;0.68;0.0;0.6;0.18;0.36;0.0
148;Ruben Bemelmans;BEL;1;1;1;1;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
149;Jesse Levine;CAN;0;3;1;0;10;3.3;16;5.3;0.56;0.58;0.45;0.57;0.2;0.56;0.24;0.41;0.08
150;Daniel Evans;GBR;1;1;1;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
151;Pierre-Hugues Herbert;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
152;Potito Starace;ITA;1;1;0;0;7;3.5;1;0.5;0.77;0.6;0.53;0.73;0.3;0.73;0.25;0.52;0.14
153;James Blake;USA;0;2;0;1;6;3.0;6;3.0;0.47;0.63;0.44;0.6;0.5;0.62;0.19;0.46;0.16
154;Paul Capdeville;CHI;1;1;1;1;15;7.5;4;2.0;0.66;0.71;0.54;0.8;0.78;0.44;0.26;0.54;0.27
155;Illya Marchenko;UKR;0;1;0;0;0;0.0;4;4.0;0.6;0.57;0.54;0.73;0.5;0.67;0.14;0.53;0.06
156;Guilherme Clezar;BRA;0;1;0;2;6;6.0;3;3.0;0.6;0.68;0.51;0.83;0.67;0.79;0.19;0.53;0.22
157;Steve Johnson;USA;0;2;0;1;9;4.5;10;5.0;0.55;0.66;0.48;0.72;0.5;0.68;0.22;0.44;0.16
158;Máximo González;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
159;Matteo Viola;ITA;0;1;0;0;1;1.0;4;4.0;0.65;0.6;0.42;0.6;1.0;0.0;0.08;0.52;0.11
160;Ruben Ramirez Hidalgo;ESP;2;4;1;2;22;3.7;26;4.3;0.54;0.74;0.5;0.84;0.41;0.76;0.3;0.5;0.24
161;Matthias Bachinger;GER;0;4;2;1;20;5.0;14;3.5;0.55;0.68;0.43;0.64;0.4;0.58;0.25;0.42;0.12
162;Peter Gojowczyk;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
163;Tatsuma Ito;JPN;0;1;0;0;2;2.0;1;1.0;0.63;0.61;0.52;0.67;1.0;0.57;0.17;0.36;0.1
164;Rik De Voest;RSA;0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
165;Marco Cecchinato;ITA;0;1;0;0;2;2.0;1;1.0;0.72;0.55;0.5;0.55;0.6;0.55;0.24;0.68;0.27
166;Jimmy Wang;TPE;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;Gastao Elias;POR;3;2;0;0;6;1.5;9;2.3;0.52;0.62;0.51;0.65;0.5;0.64;0.38;0.45;0.3
168;Radu Albot;MDA;2;0;1;1;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
169;Steve Darcis;BEL;3;2;0;0;3;1.5;5;2.5;0.64;0.59;0.54;0.67;0.4;0.59;0.16;0.63;0.14
170;Cedrik-Marcel Stebe;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
171;Malek Jaziri;TUN;2;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172;James Ward;GBR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
173;Marco Chiudinelli;SUI;0;1;0;0;4;4.0;3;3.0;0.61;0.72;0.5;0.77;0.5;0.63;0.18;0.32;0.08
174;Mischa Zverev;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
175;John Millman;AUS;0;1;0;0;1;1.0;0;0.0;0.7;0.49;0.53;0.5;0.0;0.71;0.2;0.4;0.0
176;Yuichi Sugita;JPN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
177;Marsel Ilhan;TUR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178;Gerald Melzer;AUT;0;1;0;0;1;1.0;1;1.0;0.53;0.63;0.33;0.5;0.0;0.56;0.31;0.32;0.0
179;David Guez;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
180;Hiroki Moriya;JPN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181;Konstantin Kravchuk;RUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
182;Renzo Olivo;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
183;Sam Groth;AUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
184;Bobby Reynolds;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
185;Thomas Fabbiano;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
